imgname,startx,starty,width,height,label
mechanicalmeter/9_9.jpg,51,85,52,67,10
mechanicalmeter/9_9.jpg,149,73,56,74,10
mechanicalmeter/9_9.jpg,253,69,67,70,10
mechanicalmeter/9_9.jpg,378,66,50,71,1
mechanicalmeter/9_9.jpg,478,71,71,64,10
mechanicalmeter/9_8.jpg,43,76,56,74,10
mechanicalmeter/9_8.jpg,137,64,61,80,10
mechanicalmeter/9_8.jpg,251,66,65,69,10
mechanicalmeter/9_8.jpg,371,78,57,58,1
mechanicalmeter/9_8.jpg,478,80,70,51,10
mechanicalmeter/9_7.jpg,62,72,49,69,10
mechanicalmeter/9_7.jpg,154,65,66,69,10
mechanicalmeter/9_7.jpg,273,59,56,74,10
mechanicalmeter/9_7.jpg,387,52,52,81,1
mechanicalmeter/9_7.jpg,492,58,66,72,10
mechanicalmeter/9_6.jpg,56,85,53,72,10
mechanicalmeter/9_6.jpg,150,86,63,65,10
mechanicalmeter/9_6.jpg,269,73,57,76,10
mechanicalmeter/9_6.jpg,384,62,57,73,10
mechanicalmeter/9_6.jpg,498,70,58,67,9
mechanicalmeter/9_5.jpg,55,75,53,69,10
mechanicalmeter/9_5.jpg,145,66,65,68,10
mechanicalmeter/9_5.jpg,256,62,66,71,10
mechanicalmeter/9_5.jpg,378,52,54,72,10
mechanicalmeter/9_5.jpg,496,60,56,70,9
mechanicalmeter/9_4.jpg,58,84,51,70,10
mechanicalmeter/9_4.jpg,153,75,65,68,10
mechanicalmeter/9_4.jpg,267,72,67,69,10
mechanicalmeter/9_4.jpg,384,57,55,68,10
mechanicalmeter/9_4.jpg,499,64,57,69,9
mechanicalmeter/9_3.jpg,51,76,50,69,10
mechanicalmeter/9_3.jpg,138,63,60,80,10
mechanicalmeter/9_3.jpg,252,67,65,69,10
mechanicalmeter/9_3.jpg,372,50,59,77,10
mechanicalmeter/9_3.jpg,477,60,66,66,9
mechanicalmeter/9_2.jpg,54,88,52,72,10
mechanicalmeter/9_2.jpg,147,87,66,68,10
mechanicalmeter/9_2.jpg,257,78,67,71,10
mechanicalmeter/9_2.jpg,372,71,65,68,10
mechanicalmeter/9_2.jpg,493,75,58,70,9
mechanicalmeter/9_1.jpg,55,79,51,68,10
mechanicalmeter/9_1.jpg,148,68,55,74,10
mechanicalmeter/9_1.jpg,249,67,64,67,10
mechanicalmeter/9_1.jpg,359,56,58,78,10
mechanicalmeter/9_1.jpg,475,59,57,71,9
mechanicalmeter/9_0.jpg,57,73,66,69,10
mechanicalmeter/9_0.jpg,164,67,55,72,10
mechanicalmeter/9_0.jpg,274,64,66,69,10
mechanicalmeter/9_0.jpg,392,61,58,74,10
mechanicalmeter/9_0.jpg,500,69,67,61,9
mechanicalmeter/99996.jpg,149,141,30,60,9
mechanicalmeter/99996.jpg,216,140,45,69,9
mechanicalmeter/99996.jpg,294,136,43,69,9
mechanicalmeter/99996.jpg,365,139,42,69,9
mechanicalmeter/99996.jpg,439,140,43,69,6
mechanicalmeter/99996.jpg,496,211,19,22,11
mechanicalmeter/99996.jpg,511,149,45,60,-1
mechanicalmeter/99995.jpg,147,134,33,56,9
mechanicalmeter/99995.jpg,218,138,43,55,9
mechanicalmeter/99995.jpg,292,136,38,61,9
mechanicalmeter/99995.jpg,364,143,43,61,9
mechanicalmeter/99995.jpg,439,138,42,71,5
mechanicalmeter/99995.jpg,494,213,18,19,11
mechanicalmeter/99995.jpg,509,136,52,73,-9
mechanicalmeter/9999.jpg,187,189,41,69,6
mechanicalmeter/9999.jpg,257,190,41,69,9
mechanicalmeter/9999.jpg,327,192,40,67,9
mechanicalmeter/9999.jpg,398,185,44,73,9
mechanicalmeter/9999.jpg,459,254,22,18,11
mechanicalmeter/9999.jpg,472,202,33,49,-7
mechanicalmeter/9999(3).jpg,103,115,46,65,9
mechanicalmeter/9999(3).jpg,198,110,50,70,9
mechanicalmeter/9999(3).jpg,301,110,47,68,9
mechanicalmeter/9999(3).jpg,402,112,53,70,9
mechanicalmeter/9999(3).jpg,488,105,104,79,-5
mechanicalmeter/9999(2).jpg,103,115,46,65,9
mechanicalmeter/9999(2).jpg,198,110,50,70,9
mechanicalmeter/9999(2).jpg,301,110,47,68,9
mechanicalmeter/9999(2).jpg,402,112,53,70,9
mechanicalmeter/9999(2).jpg,495,117,88,77,-5
mechanicalmeter/99989.jpg,146,143,35,59,9
mechanicalmeter/99989.jpg,217,139,41,66,9
mechanicalmeter/99989.jpg,293,142,37,60,9
mechanicalmeter/99989.jpg,369,132,35,88,8
mechanicalmeter/99989.jpg,438,135,42,82,9
