imgname,startx,starty,endx,eny,label_-1
mechanicalmeter/5C34971.jpg,145,95,176,145,3
mechanicalmeter/5C34971.jpg,201,100,233,141,4
mechanicalmeter/5C34971.jpg,262,102,293,151,9
mechanicalmeter/5C34971.jpg,320,105,351,150,7
mechanicalmeter/5C34971.jpg,378,103,408,143,1
mechanicalmeter/5C34971.jpg,427,164,449,186,11
mechanicalmeter/5C34971.jpg,433,82,476,148,-1
mechanicalmeter/5C006355.jpg,167,44,194,82,10
mechanicalmeter/5C006355.jpg,213,43,250,77,10
mechanicalmeter/5C006355.jpg,276,43,304,76,6
mechanicalmeter/5C006355.jpg,329,39,363,78,3
mechanicalmeter/5C006355.jpg,386,43,416,81,5
mechanicalmeter/5C006355.jpg,443,45,475,84,5
mechanicalmeter/5C81786.jpg,103,48,133,101,8
mechanicalmeter/5C81786.jpg,165,42,200,95,1
mechanicalmeter/5C81786.jpg,239,40,270,91,7
mechanicalmeter/5C81786.jpg,307,38,345,99,8
mechanicalmeter/5C81786.jpg,383,53,414,101,6
mechanicalmeter/5C81786.jpg,441,46,493,107,-1
mechanicalmeter/5C10732.jpg,146,158,186,216,1
mechanicalmeter/5C10732.jpg,217,166,265,219,10
mechanicalmeter/5C10732.jpg,295,169,342,222,7
mechanicalmeter/5C10732.jpg,372,170,420,223,3
mechanicalmeter/5C10732.jpg,454,165,505,216,2
mechanicalmeter/5C10766.jpg,144,173,184,217,1
mechanicalmeter/5C10766.jpg,217,166,265,219,10
mechanicalmeter/5C10766.jpg,295,169,342,222,7
mechanicalmeter/5C10766.jpg,372,170,419,222,6
mechanicalmeter/5C10766.jpg,452,164,503,220,6
mechanicalmeter/5C074591.jpg,224,59,255,107,10
mechanicalmeter/5C074591.jpg,287,53,318,106,7
mechanicalmeter/5C074591.jpg,349,55,380,102,4
mechanicalmeter/5C074591.jpg,412,55,442,102,5
mechanicalmeter/5C074591.jpg,474,57,502,106,9
mechanicalmeter/5C074591.jpg,525,54,558,107,1
mechanicalmeter/5C12433.jpg,139,120,169,176,1
mechanicalmeter/5C12433.jpg,196,118,228,175,2
mechanicalmeter/5C12433.jpg,259,119,290,174,4
mechanicalmeter/5C12433.jpg,320,121,351,177,3
mechanicalmeter/5C12433.jpg,380,122,412,183,3
mechanicalmeter/5C12433.jpg,440,121,476,173,-1
mechanicalmeter/5C687354.jpg,150,19,176,70,6
mechanicalmeter/5C687354.jpg,209,12,240,69,8
mechanicalmeter/5C687354.jpg,270,11,303,66,7
mechanicalmeter/5C687354.jpg,334,12,367,68,3
mechanicalmeter/5C687354.jpg,397,20,430,65,5
mechanicalmeter/5C687354.jpg,457,28,494,69,4
mechanicalmeter/5C00604.jpg,125,125,155,175,10
mechanicalmeter/5C00604.jpg,191,121,224,174,10
mechanicalmeter/5C00604.jpg,259,121,293,175,6
mechanicalmeter/5C00604.jpg,327,119,360,174,10
mechanicalmeter/5C00604.jpg,396,117,427,173,4
mechanicalmeter/5C00604.jpg,451,114,493,169,-1
mechanicalmeter/5C19087.jpg,149,91,180,143,1
mechanicalmeter/5C19087.jpg,207,91,239,144,9
mechanicalmeter/5C19087.jpg,270,91,300,142,10
mechanicalmeter/5C19087.jpg,328,90,358,143,8
mechanicalmeter/5C19087.jpg,383,91,417,143,7
mechanicalmeter/5C19087.jpg,433,164,451,183,11
mechanicalmeter/5C19087.jpg,441,91,474,144,-1
mechanicalmeter/5C075964.jpg,225,58,255,109,10
mechanicalmeter/5C075964.jpg,287,57,318,106,7
mechanicalmeter/5C075964.jpg,349,52,381,104,5
mechanicalmeter/5C075964.jpg,412,57,444,106,9
mechanicalmeter/5C075964.jpg,475,59,502,104,6
mechanicalmeter/5C075964.jpg,529,55,561,108,4
mechanicalmeter/5C28337.jpg,154,112,191,162,2
mechanicalmeter/5C28337.jpg,209,112,242,159,8
mechanicalmeter/5C28337.jpg,267,110,303,159,3
mechanicalmeter/5C28337.jpg,330,112,360,164,3
mechanicalmeter/5C28337.jpg,385,111,417,160,7
mechanicalmeter/5C28337.jpg,446,108,491,164,-1
mechanicalmeter/5C075460.jpg,224,58,255,109,10
mechanicalmeter/5C075460.jpg,285,56,318,106,7
mechanicalmeter/5C075460.jpg,350,55,381,106,5
mechanicalmeter/5C075460.jpg,412,55,442,102,4
mechanicalmeter/5C075460.jpg,473,59,508,106,6
mechanicalmeter/5C075460.jpg,530,56,564,107,10
mechanicalmeter/5C012083.jpg,126,181,155,239,10
mechanicalmeter/5C012083.jpg,187,179,225,239,1
mechanicalmeter/5C012083.jpg,252,179,287,237,2
mechanicalmeter/5C012083.jpg,317,182,348,239,10
mechanicalmeter/5C012083.jpg,385,187,411,244,8
mechanicalmeter/5C012083.jpg,441,184,495,240,3
mechanicalmeter/5C24094.jpg,127,76,162,125,2
mechanicalmeter/5C24094.jpg,189,76,225,122,4
mechanicalmeter/5C24094.jpg,254,68,289,125,10
mechanicalmeter/5C24094.jpg,319,69,351,126,9
mechanicalmeter/5C24094.jpg,380,72,413,124,4
mechanicalmeter/5C24094.jpg,412,146,439,178,11
mechanicalmeter/5C24094.jpg,434,58,488,136,-1
mechanicalmeter/5C096933.jpg,149,89,178,142,10
